MONATSZAHL;AUSPRAEGUNG;JAHR;MONAT;WERT;VORJAHRESWERT;VERAEND_VORMONAT_PROZENT;VERAEND_VORJAHRESMONAT_PROZENT;ZWOELF_MONATE_MITTELWERT
Alkoholunfälle;insgesamt;2018;201808;40;30;-2157;3333;35
Alkoholunfälle;insgesamt;2018;201809;36;47;-10;-234;34
Alkoholunfälle;insgesamt;2018;201810;43;32;1944;3438;35
Alkoholunfälle;insgesamt;2018;201811;31;33;-2791;-606;35
Alkoholunfälle;insgesamt;2018;201812;21;42;-3226;-50;33
Alkoholunfälle;insgesamt;2017;Summe;409;301;;3588;
Alkoholunfälle;insgesamt;2017;201701;19;21;-5;-952;25
Alkoholunfälle;insgesamt;2017;201702;22;10;1579;120;26
Alkoholunfälle;insgesamt;2017;201703;36;20;6364;80;27
Alkoholunfälle;insgesamt;2017;201704;26;27;-2778;-37;27
Alkoholunfälle;insgesamt;2017;201705;29;25;1154;16;28
Alkoholunfälle;insgesamt;2017;201706;41;30;4138;3667;28
Alkoholunfälle;insgesamt;2017;201707;52;35;2683;4857;30
Alkoholunfälle;insgesamt;2017;201708;30;34;-4231;-1176;30
Alkoholunfälle;insgesamt;2017;201709;47;29;5667;6207;31
Alkoholunfälle;insgesamt;2017;201710;32;30;-3191;667;31
Alkoholunfälle;insgesamt;2017;201711;33;20;313;65;32
Alkoholunfälle;insgesamt;2017;201712;42;20;2727;110;34
Alkoholunfälle;insgesamt;2016;Summe;301;411;;-2676;
Alkoholunfälle;insgesamt;2016;201601;21;22;-2222;-455;34
Alkoholunfälle;insgesamt;2016;201602;10;23;-5238;-5652;33
Alkoholunfälle;insgesamt;2016;201603;20;23;100;-1304;33
Alkoholunfälle;insgesamt;2016;201604;27;29;35;-69;33
Alkoholunfälle;insgesamt;2016;201605;25;50;-741;-50;31
Alkoholunfälle;insgesamt;2016;201606;30;39;20;-2308;30
Alkoholunfälle;insgesamt;2016;201607;35;49;1667;-2857;29
Alkoholunfälle;insgesamt;2016;201608;34;49;-286;-3061;27
Alkoholunfälle;insgesamt;2016;201609;29;45;-1471;-3556;26
Alkoholunfälle;insgesamt;2016;201610;30;25;345;20;27
Alkoholunfälle;insgesamt;2016;201611;20;30;-3333;-3333;26
Alkoholunfälle;insgesamt;2016;201612;20;27;0;-2593;25
Alkoholunfälle;insgesamt;2015;Summe;411;382;;759;
Alkoholunfälle;insgesamt;2015;201501;22;21;-12;476;32
Alkoholunfälle;insgesamt;2015;201502;23;17;455;3529;32
Alkoholunfälle;insgesamt;2015;201503;23;37;0;-3784;31
Alkoholunfälle;insgesamt;2015;201504;29;35;2609;-1714;31
Alkoholunfälle;insgesamt;2015;201505;50;28;7241;7857;33
Alkoholunfälle;insgesamt;2015;201506;39;31;-22;2581;33
Alkoholunfälle;insgesamt;2015;201507;49;35;2564;40;34
Alkoholunfälle;insgesamt;2015;201508;49;32;0;5313;36
Alkoholunfälle;insgesamt;2015;201509;45;43;-816;465;36
Alkoholunfälle;insgesamt;2015;201510;25;36;-4444;-3056;35
Alkoholunfälle;insgesamt;2015;201511;30;42;20;-2857;34
Alkoholunfälle;insgesamt;2015;201512;27;25;-10;8;34
Alkoholunfälle;insgesamt;2014;Summe;382;377;;133;
Alkoholunfälle;insgesamt;2014;201401;21;17;-3438;2353;32
Alkoholunfälle;insgesamt;2014;201402;17;15;-1905;1333;32
Alkoholunfälle;insgesamt;2014;201403;37;21;11765;7619;33
Alkoholunfälle;insgesamt;2014;201404;35;28;-541;25;34
Alkoholunfälle;insgesamt;2014;201405;28;33;-20;-1515;33
Alkoholunfälle;insgesamt;2014;201406;31;37;1071;-1622;33
Alkoholunfälle;insgesamt;2014;201407;35;42;129;-1667;32
Alkoholunfälle;insgesamt;2014;201408;32;39;-857;-1795;32
Alkoholunfälle;insgesamt;2014;201409;43;47;3438;-851;31
Alkoholunfälle;insgesamt;2014;201410;36;31;-1628;1613;32
Alkoholunfälle;insgesamt;2014;201411;42;35;1667;20;32
Alkoholunfälle;insgesamt;2014;201412;25;32;-4048;-2188;32
Alkoholunfälle;insgesamt;2013;Summe;377;440;;-1432;
Alkoholunfälle;insgesamt;2013;201301;17;21;-3704;-1905;36
Alkoholunfälle;insgesamt;2013;201302;15;18;-1176;-1667;36
Alkoholunfälle;insgesamt;2013;201303;21;21;40;0;36
Alkoholunfälle;insgesamt;2013;201304;28;34;3333;-1765;36
Alkoholunfälle;insgesamt;2013;201305;33;54;1786;-3889;34
Alkoholunfälle;insgesamt;2013;201306;37;43;1212;-1395;33
Alkoholunfälle;insgesamt;2013;201307;42;56;1351;-25;32
Alkoholunfälle;insgesamt;2013;201308;39;55;-714;-2909;31
Alkoholunfälle;insgesamt;2013;201309;47;49;2051;-408;31
Alkoholunfälle;insgesamt;2013;201310;31;32;-3404;-313;31
Alkoholunfälle;insgesamt;2013;201311;35;30;129;1667;31
Alkoholunfälle;insgesamt;2013;201312;32;27;-857;1852;31
Alkoholunfälle;insgesamt;2012;Summe;440;397;;1083;
Alkoholunfälle;insgesamt;2012;201201;21;25;-4324;-16;33
Alkoholunfälle;insgesamt;2012;201202;18;25;-1429;-28;32
Alkoholunfälle;insgesamt;2012;201203;21;22;1667;-455;32
Alkoholunfälle;insgesamt;2012;201204;34;43;619;-2093;31
Alkoholunfälle;insgesamt;2012;201205;54;43;5882;2558;32
Alkoholunfälle;insgesamt;2012;201206;43;27;-2037;5926;34
Alkoholunfälle;insgesamt;2012;201207;56;39;3023;4359;35
Alkoholunfälle;insgesamt;2012;201208;55;34;-179;6176;37
Alkoholunfälle;insgesamt;2012;201209;49;36;-1091;3611;38
Alkoholunfälle;insgesamt;2012;201210;32;26;-3469;2308;38
Alkoholunfälle;insgesamt;2012;201211;30;40;-625;-25;38
Alkoholunfälle;insgesamt;2012;201212;27;37;-10;-2703;37
Alkoholunfälle;insgesamt;2011;Summe;397;402;;-124;
Alkoholunfälle;insgesamt;2011;201101;25;19;-385;3158;34
Alkoholunfälle;insgesamt;2011;201102;25;23;0;87;34
Alkoholunfälle;insgesamt;2011;201103;22;31;-12;-2903;33
Alkoholunfälle;insgesamt;2011;201104;43;33;9545;303;34
Alkoholunfälle;insgesamt;2011;201105;43;34;0;2647;35
Alkoholunfälle;insgesamt;2011;201106;27;39;-3721;-3077;34
Alkoholunfälle;insgesamt;2011;201107;39;48;4444;-1875;33
Alkoholunfälle;insgesamt;2011;201108;34;40;-1282;-15;33
Alkoholunfälle;insgesamt;2011;201109;36;54;588;-3333;31
Alkoholunfälle;insgesamt;2011;201110;26;27;-2778;-37;31
Alkoholunfälle;insgesamt;2011;201111;40;28;5385;4286;32
Alkoholunfälle;insgesamt;2011;201112;37;26;-75;4231;33
Alkoholunfälle;insgesamt;2010;Summe;402;430;;-651;
Alkoholunfälle;insgesamt;2010;201001;19;23;-4412;-1739;36
Alkoholunfälle;insgesamt;2010;201002;23;32;2105;-2813;35
Alkoholunfälle;insgesamt;2010;201003;31;14;3478;12143;36
Alkoholunfälle;insgesamt;2010;201004;33;45;645;-2667;35
Alkoholunfälle;insgesamt;2010;201005;34;57;303;-4035;33
Alkoholunfälle;insgesamt;2010;201006;39;31;1471;2581;34
Alkoholunfälle;insgesamt;2010;201007;48;44;2308;909;34
Alkoholunfälle;insgesamt;2010;201008;40;35;-1667;1429;35
Alkoholunfälle;insgesamt;2010;201009;54;49;35;102;35
Alkoholunfälle;insgesamt;2010;201010;27;35;-50;-2286;34
Alkoholunfälle;insgesamt;2010;201011;28;31;37;-968;34
Alkoholunfälle;insgesamt;2010;201012;26;34;-714;-2353;34
Alkoholunfälle;insgesamt;2009;Summe;430;482;;-1079;
Alkoholunfälle;insgesamt;2009;200901;23;32;-3429;-2813;39
Alkoholunfälle;insgesamt;2009;200902;32;30;3913;667;40
Alkoholunfälle;insgesamt;2009;200903;14;30;-5625;-5333;38
Alkoholunfälle;insgesamt;2009;200904;45;25;22143;80;40
Alkoholunfälle;insgesamt;2009;200905;57;57;2667;0;40
Alkoholunfälle;insgesamt;2009;200906;31;56;-4561;-4464;38
Alkoholunfälle;insgesamt;2009;200907;44;52;4194;-1538;37
Alkoholunfälle;insgesamt;2009;200908;35;44;-2045;-2045;36
Alkoholunfälle;insgesamt;2009;200909;49;49;40;0;36
Alkoholunfälle;insgesamt;2009;200910;35;45;-2857;-2222;36
Alkoholunfälle;insgesamt;2009;200911;31;27;-1143;1481;36
Alkoholunfälle;insgesamt;2009;200912;34;35;968;-286;36
Alkoholunfälle;insgesamt;2008;Summe;482;560;;-1393;
Alkoholunfälle;insgesamt;2008;200801;32;36;-1351;-1111;46
Alkoholunfälle;insgesamt;2008;200802;30;32;-625;-625;46
Alkoholunfälle;insgesamt;2008;200803;30;38;0;-2105;46
Alkoholunfälle;insgesamt;2008;200804;25;49;-1667;-4898;44
Alkoholunfälle;insgesamt;2008;200805;57;63;128;-952;43
Alkoholunfälle;insgesamt;2008;200806;56;51;-175;98;43
Alkoholunfälle;insgesamt;2008;200807;52;65;-714;-20;42
Alkoholunfälle;insgesamt;2008;200808;44;44;-1538;0;42
Alkoholunfälle;insgesamt;2008;200809;49;54;1136;-926;42
Alkoholunfälle;insgesamt;2008;200810;45;55;-816;-1818;41
Alkoholunfälle;insgesamt;2008;200811;27;36;-40;-25;40
Alkoholunfälle;insgesamt;2008;200812;35;37;2963;-541;40
Alkoholunfälle;insgesamt;2007;Summe;560;599;;-651;
Alkoholunfälle;insgesamt;2007;200701;36;44;-3077;-1818;49
Alkoholunfälle;insgesamt;2007;200702;32;50;-1111;-36;48
Alkoholunfälle;insgesamt;2007;200703;38;40;1875;-5;48
Alkoholunfälle;insgesamt;2007;200704;49;40;2895;225;48
Alkoholunfälle;insgesamt;2007;200705;63;53;2857;1887;49
Alkoholunfälle;insgesamt;2007;200706;51;51;-1905;0;49
Alkoholunfälle;insgesamt;2007;200707;65;64;2745;156;49
Alkoholunfälle;insgesamt;2007;200708;44;48;-3231;-833;49
Alkoholunfälle;insgesamt;2007;200709;54;64;2273;-1563;48
Alkoholunfälle;insgesamt;2007;200710;55;45;185;2222;49
Alkoholunfälle;insgesamt;2007;200711;36;48;-3455;-25;48
Alkoholunfälle;insgesamt;2007;200712;37;52;278;-2885;47
Alkoholunfälle;insgesamt;2006;Summe;599;600;;-17;
Alkoholunfälle;insgesamt;2006;200601;44;48;732;-833;50
Alkoholunfälle;insgesamt;2006;200602;50;40;1364;25;51
Alkoholunfälle;insgesamt;2006;200603;40;40;-20;0;51
Alkoholunfälle;insgesamt;2006;200604;40;40;0;0;51
Alkoholunfälle;insgesamt;2006;200605;53;48;325;1042;51
Alkoholunfälle;insgesamt;2006;200606;51;57;-377;-1053;50
Alkoholunfälle;insgesamt;2006;200607;64;63;2549;159;51
Alkoholunfälle;insgesamt;2006;200608;48;48;-25;0;51
Alkoholunfälle;insgesamt;2006;200609;64;76;3333;-1579;50
Alkoholunfälle;insgesamt;2006;200610;45;57;-2969;-2105;49
Alkoholunfälle;insgesamt;2006;200611;48;42;667;1429;49
Alkoholunfälle;insgesamt;2006;200612;52;41;833;2683;50
Alkoholunfälle;insgesamt;2005;Summe;600;659;;-895;
Alkoholunfälle;insgesamt;2005;200501;48;42;-769;1429;55
Alkoholunfälle;insgesamt;2005;200502;40;48;-1667;-1667;55
Alkoholunfälle;insgesamt;2005;200503;40;44;0;-909;54
Alkoholunfälle;insgesamt;2005;200504;40;37;0;811;55
Alkoholunfälle;insgesamt;2005;200505;48;55;20;-1273;54
Alkoholunfälle;insgesamt;2005;200506;57;58;1875;-172;54
Alkoholunfälle;insgesamt;2005;200507;63;67;1053;-597;54
Alkoholunfälle;insgesamt;2005;200508;48;58;-2381;-1724;53
Alkoholunfälle;insgesamt;2005;200509;76;79;5833;-38;53
Alkoholunfälle;insgesamt;2005;200510;57;68;-25;-1618;52
Alkoholunfälle;insgesamt;2005;200511;42;51;-2632;-1765;51
Alkoholunfälle;insgesamt;2005;200512;41;52;-238;-2115;50
Alkoholunfälle;insgesamt;2004;Summe;659;730;;-973;
Alkoholunfälle;insgesamt;2004;200401;42;55;-2759;-2364;60
Alkoholunfälle;insgesamt;2004;200402;48;44;1429;909;60
Alkoholunfälle;insgesamt;2004;200403;44;53;-833;-1698;59
Alkoholunfälle;insgesamt;2004;200404;37;50;-1591;-26;58
Alkoholunfälle;insgesamt;2004;200405;55;65;4865;-1538;57
Alkoholunfälle;insgesamt;2004;200406;58;82;545;-2927;55
Alkoholunfälle;insgesamt;2004;200407;67;76;1552;-1184;55
Alkoholunfälle;insgesamt;2004;200408;58;66;-1343;-1212;54
Alkoholunfälle;insgesamt;2004;200409;79;63;3621;254;55
Alkoholunfälle;insgesamt;2004;200410;68;74;-1392;-811;55
Alkoholunfälle;insgesamt;2004;200411;51;44;-25;1591;55
Alkoholunfälle;insgesamt;2004;200412;52;58;196;-1034;55
Alkoholunfälle;insgesamt;2003;Summe;730;803;;-909;
Alkoholunfälle;insgesamt;2003;200301;55;44;-127;25;68
Alkoholunfälle;insgesamt;2003;200302;44;49;-20;-102;67
Alkoholunfälle;insgesamt;2003;200303;53;61;2045;-1311;67
Alkoholunfälle;insgesamt;2003;200304;50;65;-566;-2308;66
Alkoholunfälle;insgesamt;2003;200305;65;58;30;1207;66
Alkoholunfälle;insgesamt;2003;200306;82;74;2615;1081;67
Alkoholunfälle;insgesamt;2003;200307;76;84;-732;-952;66
Alkoholunfälle;insgesamt;2003;200308;66;71;-1316;-704;66
Alkoholunfälle;insgesamt;2003;200309;63;107;-455;-4112;62
Alkoholunfälle;insgesamt;2003;200310;74;83;1746;-1084;61
Alkoholunfälle;insgesamt;2003;200311;44;44;-4054;0;61
Alkoholunfälle;insgesamt;2003;200312;58;63;3182;-794;61
Alkoholunfälle;insgesamt;2002;Summe;803;848;;-531;
Alkoholunfälle;insgesamt;2002;200201;44;66;-3333;-3333;69
Alkoholunfälle;insgesamt;2002;200202;49;49;1136;0;69
Alkoholunfälle;insgesamt;2002;200203;61;63;2449;-317;69
Alkoholunfälle;insgesamt;2002;200204;65;68;656;-441;68
Alkoholunfälle;insgesamt;2002;200205;58;85;-1077;-3176;66
Alkoholunfälle;insgesamt;2002;200206;74;68;2759;882;67
Alkoholunfälle;insgesamt;2002;200207;84;71;1351;1831;68
Alkoholunfälle;insgesamt;2002;200208;71;60;-1548;1833;69
Alkoholunfälle;insgesamt;2002;200209;107;107;507;0;69
Alkoholunfälle;insgesamt;2002;200210;83;77;-2243;779;69
Alkoholunfälle;insgesamt;2002;200211;44;68;-4699;-3529;67
Alkoholunfälle;insgesamt;2002;200212;63;66;4318;-455;67
Alkoholunfälle;insgesamt;2001;Summe;848;934;;-921;
Alkoholunfälle;insgesamt;2001;200101;66;78;-2235;-1538;77
Alkoholunfälle;insgesamt;2001;200102;49;53;-2576;-755;77
Alkoholunfälle;insgesamt;2001;200103;63;73;2857;-137;76
Alkoholunfälle;insgesamt;2001;200104;68;78;794;-1282;75
Alkoholunfälle;insgesamt;2001;200105;85;96;25;-1146;74
Alkoholunfälle;insgesamt;2001;200106;68;57;-20;193;75
Alkoholunfälle;insgesamt;2001;200107;71;99;441;-2828;73
Alkoholunfälle;insgesamt;2001;200108;60;77;-1549;-2208;71
Alkoholunfälle;insgesamt;2001;200109;107;84;7833;2738;73
Alkoholunfälle;insgesamt;2001;200110;77;83;-2804;-723;73
Alkoholunfälle;insgesamt;2001;200111;68;71;-1169;-423;72
Alkoholunfälle;insgesamt;2001;200112;66;85;-294;-2235;71
Alkoholunfälle;insgesamt;2000;Summe;934;;;;
Alkoholunfälle;insgesamt;2000;200001;78;;;;78
Alkoholunfälle;insgesamt;2000;200002;53;;-3205;;66
Alkoholunfälle;insgesamt;2000;200003;73;;3774;;68
Alkoholunfälle;insgesamt;2000;200004;78;;685;;71
Alkoholunfälle;insgesamt;2000;200005;96;;2308;;76
Alkoholunfälle;insgesamt;2000;200006;57;;-4063;;73
Alkoholunfälle;insgesamt;2000;200007;99;;7368;;76
Alkoholunfälle;insgesamt;2000;200008;77;;-2222;;76
Alkoholunfälle;insgesamt;2000;200009;84;;909;;77
Alkoholunfälle;insgesamt;2000;200010;83;;-119;;78
Alkoholunfälle;insgesamt;2000;200011;71;;-1446;;77
Alkoholunfälle;insgesamt;2000;200012;85;;1972;;78
Alkoholunfälle;Verletzte und Getötete;2021;202101;;11;;;
Alkoholunfälle;Verletzte und Getötete;2021;202102;;19;;;
Alkoholunfälle;Verletzte und Getötete;2021;202103;;13;;;
Alkoholunfälle;Verletzte und Getötete;2021;202104;;15;;;
Alkoholunfälle;Verletzte und Getötete;2021;202105;;26;;;
Alkoholunfälle;Verletzte und Getötete;2021;202106;;30;;;
Alkoholunfälle;Verletzte und Getötete;2021;202107;;43;;;
Alkoholunfälle;Verletzte und Getötete;2021;202108;;29;;;
Alkoholunfälle;Verletzte und Getötete;2021;202109;;24;;;
Alkoholunfälle;Verletzte und Getötete;2021;202110;;20;;;
Alkoholunfälle;Verletzte und Getötete;2021;202111;;11;;;
Alkoholunfälle;Verletzte und Getötete;2021;202112;;9;;;
Alkoholunfälle;Verletzte und Getötete;2020;Summe;250;227;;1013;
Alkoholunfälle;Verletzte und Getötete;2020;202001;11;7;-833;5714;19
Alkoholunfälle;Verletzte und Getötete;2020;202002;19;7;7273;17143;20
Alkoholunfälle;Verletzte und Getötete;2020;202003;13;22;-3158;-4091;20
Alkoholunfälle;Verletzte und Getötete;2020;202004;15;18;1538;-1667;19
Alkoholunfälle;Verletzte und Getötete;2020;202005;26;21;7333;2381;20
Alkoholunfälle;Verletzte und Getötete;2020;202006;30;24;1538;25;20
Alkoholunfälle;Verletzte und Getötete;2020;202007;43;34;4333;2647;21
Alkoholunfälle;Verletzte und Getötete;2020;202008;29;23;-3256;2609;21
Alkoholunfälle;Verletzte und Getötete;2020;202009;24;20;-1724;20;22
Alkoholunfälle;Verletzte und Getötete;2020;202010;20;20;-1667;0;22
Alkoholunfälle;Verletzte und Getötete;2020;202011;11;19;-45;-4211;21
Alkoholunfälle;Verletzte und Getötete;2020;202012;9;12;-1818;-25;21
Alkoholunfälle;Verletzte und Getötete;2019;Summe;227;182;;2473;
Alkoholunfälle;Verletzte und Getötete;2019;201901;7;8;1667;-125;15
Alkoholunfälle;Verletzte und Getötete;2019;201902;7;13;0;-4615;15
Alkoholunfälle;Verletzte und Getötete;2019;201903;22;12;21429;8333;15
Alkoholunfälle;Verletzte und Getötete;2019;201904;18;8;-1818;125;16
Alkoholunfälle;Verletzte und Getötete;2019;201905;21;23;1667;-87;16
Alkoholunfälle;Verletzte und Getötete;2019;201906;24;14;1429;7143;17
Alkoholunfälle;Verletzte und Getötete;2019;201907;34;29;4167;1724;17
Alkoholunfälle;Verletzte und Getötete;2019;201908;23;18;-3235;2778;18
Alkoholunfälle;Verletzte und Getötete;2019;201909;20;22;-1304;-909;18
Alkoholunfälle;Verletzte und Getötete;2019;201910;20;16;0;25;18
Alkoholunfälle;Verletzte und Getötete;2019;201911;19;13;-5;4615;18
Alkoholunfälle;Verletzte und Getötete;2019;201912;12;6;-3684;100;19
Alkoholunfälle;Verletzte und Getötete;2018;Summe;182;176;;341;
Alkoholunfälle;Verletzte und Getötete;2018;201801;8;4;-5294;100;15
Alkoholunfälle;Verletzte und Getötete;2018;201802;13;4;625;225;16
Alkoholunfälle;Verletzte und Getötete;2018;201803;12;15;-769;-20;16
Alkoholunfälle;Verletzte und Getötete;2018;201804;8;10;-3333;-20;15
Alkoholunfälle;Verletzte und Getötete;2018;201805;23;16;1875;4375;16
Alkoholunfälle;Verletzte und Getötete;2018;201806;14;27;-3913;-4815;15
Alkoholunfälle;Verletzte und Getötete;2018;201807;29;18;10714;6111;16
Alkoholunfälle;Verletzte und Getötete;2018;201808;18;14;-3793;2857;16
Alkoholunfälle;Verletzte und Getötete;2018;201809;22;22;2222;0;16
Alkoholunfälle;Verletzte und Getötete;2018;201810;16;16;-2727;0;16
Alkoholunfälle;Verletzte und Getötete;2018;201811;13;13;-1875;0;16
Alkoholunfälle;Verletzte und Getötete;2018;201812;6;17;-5385;-6471;15
Alkoholunfälle;Verletzte und Getötete;2017;Summe;176;144;;2222;
Alkoholunfälle;Verletzte und Getötete;2017;201701;4;6;-60;-3333;12
Alkoholunfälle;Verletzte und Getötete;2017;201702;4;3;0;3333;12
Alkoholunfälle;Verletzte und Getötete;2017;201703;15;6;275;150;13
Alkoholunfälle;Verletzte und Getötete;2017;201704;10;8;-3333;25;13
Alkoholunfälle;Verletzte und Getötete;2017;201705;16;17;60;-588;13
Alkoholunfälle;Verletzte und Getötete;2017;201706;27;19;6875;4211;13
Alkoholunfälle;Verletzte und Getötete;2017;201707;18;23;-3333;-2174;13
Alkoholunfälle;Verletzte und Getötete;2017;201708;14;12;-2222;1667;13
Alkoholunfälle;Verletzte und Getötete;2017;201709;22;22;5714;0;13
Alkoholunfälle;Verletzte und Getötete;2017;201710;16;11;-2727;4545;14
Alkoholunfälle;Verletzte und Getötete;2017;201711;13;7;-1875;8571;14
Alkoholunfälle;Verletzte und Getötete;2017;201712;17;10;3077;70;15
Alkoholunfälle;Verletzte und Getötete;2016;Summe;144;225;;-36;
Alkoholunfälle;Verletzte und Getötete;2016;201601;6;21;0;-7143;18
Alkoholunfälle;Verletzte und Getötete;2016;201602;3;3;-50;0;18
Alkoholunfälle;Verletzte und Getötete;2016;201603;6;9;100;-3333;17
Alkoholunfälle;Verletzte und Getötete;2016;201604;8;23;3333;-6522;16
Alkoholunfälle;Verletzte und Getötete;2016;201605;17;30;1125;-4333;15
Alkoholunfälle;Verletzte und Getötete;2016;201606;19;19;1176;0;15
Alkoholunfälle;Verletzte und Getötete;2016;201607;23;37;2105;-3784;14
Alkoholunfälle;Verletzte und Getötete;2016;201608;12;29;-4783;-5862;12
Alkoholunfälle;Verletzte und Getötete;2016;201609;22;25;8333;-12;12
Alkoholunfälle;Verletzte und Getötete;2016;201610;11;12;-50;-833;12
Alkoholunfälle;Verletzte und Getötete;2016;201611;7;11;-3636;-3636;12
Alkoholunfälle;Verletzte und Getötete;2016;201612;10;6;4286;6667;12
Alkoholunfälle;Verletzte und Getötete;2015;Summe;225;167;;3473;
Alkoholunfälle;Verletzte und Getötete;2015;201501;21;4;600;425;15
Alkoholunfälle;Verletzte und Getötete;2015;201502;3;7;-8571;-5714;15
Alkoholunfälle;Verletzte und Getötete;2015;201503;9;16;200;-4375;14
Alkoholunfälle;Verletzte und Getötete;2015;201504;23;15;15556;5333;15
Alkoholunfälle;Verletzte und Getötete;2015;201505;30;19;3043;5789;16
Alkoholunfälle;Verletzte und Getötete;2015;201506;19;16;-3667;1875;16
Alkoholunfälle;Verletzte und Getötete;2015;201507;37;21;9474;7619;18
Alkoholunfälle;Verletzte und Getötete;2015;201508;29;13;-2162;12308;19
Alkoholunfälle;Verletzte und Getötete;2015;201509;25;18;-1379;3889;20
Alkoholunfälle;Verletzte und Getötete;2015;201510;12;21;-52;-4286;19
Alkoholunfälle;Verletzte und Getötete;2015;201511;11;14;-833;-2143;19
Alkoholunfälle;Verletzte und Getötete;2015;201512;6;3;-4545;100;19
Alkoholunfälle;Verletzte und Getötete;2014;Summe;167;153;;915;
Alkoholunfälle;Verletzte und Getötete;2014;201401;4;2;-60;100;13
Alkoholunfälle;Verletzte und Getötete;2014;201402;7;0;75;;14
Alkoholunfälle;Verletzte und Getötete;2014;201403;16;8;12857;100;14
Alkoholunfälle;Verletzte und Getötete;2014;201404;15;5;-625;200;15
Alkoholunfälle;Verletzte und Getötete;2014;201405;19;21;2667;-952;15
Alkoholunfälle;Verletzte und Getötete;2014;201406;16;20;-1579;-20;15
Alkoholunfälle;Verletzte und Getötete;2014;201407;21;24;3125;-125;14
Alkoholunfälle;Verletzte und Getötete;2014;201408;13;22;-381;-4091;14
Alkoholunfälle;Verletzte und Getötete;2014;201409;18;17;3846;588;14
Alkoholunfälle;Verletzte und Getötete;2014;201410;21;12;1667;75;14
Alkoholunfälle;Verletzte und Getötete;2014;201411;14;12;-3333;1667;15
Alkoholunfälle;Verletzte und Getötete;2014;201412;3;10;-7857;-70;14
Alkoholunfälle;Verletzte und Getötete;2013;Summe;153;223;;-3139;
Alkoholunfälle;Verletzte und Getötete;2013;201301;2;11;-8182;-8182;18
Alkoholunfälle;Verletzte und Getötete;2013;201302;0;5;-100;-100;17
Alkoholunfälle;Verletzte und Getötete;2013;201303;8;5;;60;18
Alkoholunfälle;Verletzte und Getötete;2013;201304;5;22;-375;-7727;16
Alkoholunfälle;Verletzte und Getötete;2013;201305;21;33;320;-3636;15
